TransactionID,Date,CustomerID,ProductID,StoreID,Quantity,Discount,PaymentMethod
T00053,9/30/2024,C062,P047,S004,4,0.05,Mobile Money
T00054,1/29/2024,C166,P001,S004,4,0,Cash
T00055,6/27/2024,C076,P009,S002,4,0.05,Bank Transfer
T00056,8/19/2025,C170,P028,S005,3,0.15,Bank Transfer
T00057,10/11/2024,C109,P011,S005,3,0.1,Mobile Money
T00058,1/20/2024,C070,P034,S003,3,0.05,Cash
T00059,2/14/2025,C185,P027,S002,3,0,Credit Card
T00060,11/26/2024,C050,P044,S002,4,0.1,Bank Transfer
T00061,3/20/2025,C026,P006,S002,3,0.05,Bank Transfer
T00062,5/3/2025,C046,P027,S003,1,0.05,Bank Transfer
T00063,6/1/2024,C012,P036,S001,5,0.1,Credit Card
T00064,11/15/2024,C164,P048,S004,1,0,Bank Transfer
T00065,5/26/2024,C121,P028,S004,4,0.1,Credit Card
T00066,4/20/2024,C014,P010,S003,4,0,Cash
T00067,2/16/2025,C103,P042,S004,1,0,Credit Card
T00068,3/15/2024,C039,P002,S005,3,0,Credit Card
T00069,11/14/2023,C031,P040,S005,4,0.05,Mobile Money
T00070,12/2/2024,C116,P013,S004,3,0.15,Bank Transfer
T00071,11/18/2023,C146,P044,S005,1,0,Credit Card
T00072,1/5/2025,C161,P012,S002,3,0,Credit Card
T00073,10/8/2024,C062,P022,S002,5,0,Credit Card
T00074,7/1/2024,C001,P014,S004,4,0.15,Bank Transfer
T00075,4/24/2024,C009,P018,S002,3,0.1,Mobile Money
T00076,5/20/2025,C019,P005,S002,3,0.05,Mobile Money
T00077,6/19/2025,C030,P031,S005,2,0.05,Bank Transfer
T00078,7/24/2024,C037,P015,S001,1,0.05,Bank Transfer
T00079,1/6/2024,C153,P018,S005,3,0.15,Cash
T00080,11/21/2023,C120,P021,S003,4,0.1,Mobile Money
T00081,6/20/2024,C113,P009,S001,5,0,Mobile Money
T00082,10/23/2023,C189,P009,S003,5,0.1,Cash
T00083,8/16/2024,C024,P039,S002,5,0,Bank Transfer
T00084,5/28/2025,C148,P038,S001,2,0.15,Mobile Money
T00085,10/13/2023,C072,P014,S002,5,0.15,Mobile Money
T00086,9/17/2023,C024,P018,S004,3,0.15,Bank Transfer
T00087,10/17/2024,C083,P036,S001,2,0.1,Mobile Money
T00088,5/23/2025,C178,P024,S004,3,0.15,Cash
T00089,1/31/2025,C117,P049,S001,3,0.1,Bank Transfer
T00090,11/15/2023,C030,P046,S004,5,0,Mobile Money
T00091,7/26/2025,C106,P039,S001,2,0.1,Mobile Money
T00092,5/6/2025,C161,P049,S004,1,0.05,Bank Transfer
T00093,9/23/2023,C141,P048,S002,3,0.15,Mobile Money
T00094,12/24/2023,C032,P019,S001,5,0.05,Credit Card
T00095,10/13/2024,C080,P030,S005,1,0.15,Cash
T00096,6/8/2024,C058,P048,S001,4,0,Credit Card
T00097,3/16/2024,C128,P038,S003,5,0.1,Mobile Money
T00098,8/15/2024,C124,P009,S004,2,0.15,Credit Card
T00099,10/18/2024,C099,P017,S002,5,0.05,Cash
T00100,7/7/2025,C071,P023,S004,3,0.1,Cash
T00101,6/6/2025,C073,P013,S003,5,0.15,Credit Card
T00102,7/16/2025,C115,P006,S005,4,0.1,Bank Transfer
T00103,12/29/2024,C142,P016,S005,4,0.15,Bank Transfer
T00104,1/18/2025,C049,P032,S002,5,0.15,Credit Card
T00105,1/14/2024,C199,P011,S004,1,0.1,Mobile Money
T00106,1/29/2025,C181,P049,S004,4,0.05,Mobile Money
T00107,3/7/2025,C010,P010,S002,5,0.1,Cash
T00108,8/2/2025,C113,P039,S001,5,0.15,Cash
T00109,11/9/2023,C185,P030,S002,4,0.05,Cash
T00110,7/21/2024,C121,P014,S003,3,0.15,Cash
T00111,3/24/2024,C085,P043,S005,4,0.1,Mobile Money
T00112,1/9/2024,C139,P022,S001,5,0,Credit Card
T00113,10/7/2024,C162,P024,S003,2,0,Mobile Money
T00114,1/18/2025,C026,P027,S001,4,0.05,Bank Transfer
T00115,6/13/2025,C008,P038,S001,3,0,Bank Transfer
T00116,2/14/2024,C092,P033,S003,4,0.05,Credit Card
T00117,6/8/2024,C136,P006,S004,5,0.05,Credit Card
T00118,7/1/2024,C045,P037,S001,5,0.15,Credit Card
T00119,9/16/2024,C128,P033,S005,2,0.05,Mobile Money
T00120,10/26/2024,C164,P024,S003,4,0.1,Cash
T00121,3/19/2025,C120,P018,S003,5,0.05,Cash
T00122,1/22/2025,C114,P030,S003,5,0.1,Mobile Money
T00123,3/30/2025,C177,P042,S003,4,0.1,Credit Card
T00124,1/4/2024,C099,P016,S004,1,0.05,Mobile Money
T00125,6/14/2024,C147,P003,S003,5,0.1,Bank Transfer
T00126,10/21/2023,C006,P001,S004,3,0,Cash
T00127,1/29/2025,C156,P022,S004,3,0.05,Bank Transfer
T00128,9/17/2024,C057,P029,S002,5,0.1,Credit Card
T00129,11/12/2024,C161,P010,S001,1,0.1,Mobile Money
T00130,6/29/2025,C009,P003,S005,3,0.05,Cash
T00131,1/10/2024,C076,P015,S003,4,0.05,Credit Card
T00132,5/20/2025,C034,P007,S005,3,0.1,Credit Card
T00133,4/14/2024,C066,P016,S004,3,0.1,Cash
T00134,5/26/2024,C120,P045,S001,2,0.05,Mobile Money
T00135,8/30/2024,C143,P025,S003,1,0.15,Cash
T00136,7/12/2024,C068,P037,S005,1,0.15,Bank Transfer
T00137,5/26/2024,C173,P024,S003,5,0.15,Bank Transfer
T00138,1/21/2024,C028,P028,S002,4,0,Bank Transfer
T00139,12/31/2023,C157,P027,S002,1,0.15,Bank Transfer
T00140,2/3/2025,C167,P030,S004,1,0.05,Cash
T00141,11/23/2023,C010,P024,S003,4,0,Cash
T00142,9/27/2024,C061,P049,S005,2,0.15,Mobile Money
T00143,8/9/2025,C095,P033,S005,4,0.05,Mobile Money
T00144,12/18/2023,C168,P044,S001,4,0.15,Bank Transfer
T00145,3/10/2025,C009,P009,S003,2,0.15,Mobile Money
T00146,5/12/2024,C061,P039,S003,1,0.1,Bank Transfer
T00147,9/17/2024,C016,P035,S004,3,0.05,Cash
T00148,4/9/2024,C117,P016,S001,2,0,Cash
T00149,10/16/2023,C086,P014,S002,2,0.05,Cash
T00150,8/30/2024,C196,P029,S005,2,0.05,Credit Card
T00151,9/4/2024,C085,P021,S002,5,0,Bank Transfer
T00152,10/21/2024,C038,P044,S002,5,0.1,Credit Card
T00153,4/20/2024,C029,P006,S001,2,0,Bank Transfer
T00154,7/2/2025,C061,P026,S005,3,0,Credit Card
T00155,7/25/2024,C068,P014,S001,2,0.15,Cash
T00156,11/19/2024,C191,P008,S001,4,0.15,Bank Transfer
T00157,9/29/2024,C132,P003,S005,1,0.15,Credit Card
T00158,8/22/2024,C158,P023,S001,5,0.1,Mobile Money
T00159,8/3/2025,C165,P042,S001,1,0.15,Mobile Money
T00160,10/6/2023,C110,P021,S001,4,0.15,Cash
T00161,5/17/2025,C021,P046,S003,5,0.05,Cash
T00162,5/3/2024,C033,P029,S003,5,0.1,Mobile Money
T00163,3/16/2025,C153,P033,S005,3,0.15,Mobile Money
T00164,7/28/2024,C026,P003,S001,5,0.05,Mobile Money
T00165,8/19/2025,C116,P005,S002,4,0.1,Mobile Money
T00166,1/28/2025,C103,P030,S004,1,0.1,Mobile Money
T00167,10/22/2023,C081,P038,S003,3,0.05,Mobile Money
T00168,3/11/2024,C018,P022,S001,1,0,Mobile Money
T00169,8/1/2024,C025,P018,S003,2,0,Bank Transfer
T00170,2/25/2024,C172,P044,S001,4,0.1,Mobile Money
T00171,12/23/2023,C185,P035,S001,3,0.1,Bank Transfer
T00172,1/18/2025,C027,P045,S005,5,0.05,Credit Card
T00173,9/2/2024,C169,P027,S004,2,0,Bank Transfer
T00174,5/22/2025,C143,P010,S003,1,0.1,Credit Card
T00175,11/27/2024,C110,P006,S005,5,0,Bank Transfer
T00176,8/13/2025,C008,P012,S002,3,0.1,Bank Transfer
T00177,8/17/2025,C090,P023,S001,2,0.05,Mobile Money
T00178,4/8/2024,C018,P016,S002,1,0,Credit Card
T00179,4/5/2024,C097,P020,S004,4,0.1,Credit Card
T00180,6/4/2024,C095,P009,S003,3,0,Cash
T00181,6/28/2024,C040,P030,S002,5,0,Cash
T00182,12/31/2023,C070,P029,S004,4,0.15,Mobile Money
T00183,5/21/2025,C107,P012,S003,2,0,Bank Transfer
T00184,8/23/2024,C111,P002,S001,3,0.15,Bank Transfer
T00185,7/2/2025,C012,P030,S002,4,0,Cash
T00186,6/21/2024,C053,P029,S003,2,0.05,Bank Transfer
T00187,9/26/2024,C075,P013,S003,1,0,Mobile Money
T00188,4/22/2024,C192,P016,S004,2,0.05,Mobile Money
T00189,3/26/2025,C137,P044,S002,5,0.1,Cash
T00190,5/30/2025,C102,P020,S001,4,0,Mobile Money
T00191,9/24/2023,C020,P007,S003,5,0.15,Mobile Money
T00192,10/27/2023,C182,P019,S004,3,0,Mobile Money
T00193,1/13/2025,C006,P027,S003,2,0.15,Bank Transfer
T00194,12/8/2023,C023,P010,S004,1,0.05,Mobile Money
T00195,6/7/2025,C151,P016,S004,5,0,Mobile Money
T00196,9/7/2024,C080,P011,S003,2,0.1,Credit Card
T00197,5/23/2024,C020,P025,S005,1,0.05,Bank Transfer
T00198,3/14/2025,C090,P025,S002,2,0,Credit Card
T00199,8/5/2025,C066,P025,S002,2,0.05,Cash
T00200,11/30/2023,C046,P044,S004,4,0.15,Bank Transfer
T00201,9/27/2023,C161,P042,S003,2,0.15,Cash
T00202,1/4/2024,C121,P027,S004,3,0.1,Cash
T00203,1/8/2024,C091,P017,S005,1,0.1,Mobile Money
T00204,7/24/2025,C116,P050,S001,1,0.1,Bank Transfer
T00205,4/19/2025,C020,P004,S001,5,0.15,Mobile Money
T00206,10/14/2023,C149,P043,S005,1,0.15,Credit Card
T00207,10/30/2023,C083,P035,S005,4,0.05,Cash
T00208,3/21/2025,C116,P004,S001,3,0,Credit Card
T00209,3/1/2025,C011,P028,S002,4,0.15,Credit Card
T00210,8/2/2024,C094,P021,S003,3,0.15,Mobile Money
T00211,4/8/2025,C199,P023,S003,5,0,Bank Transfer
T00212,6/16/2025,C017,P045,S003,1,0.15,Bank Transfer
T00213,11/28/2024,C065,P008,S005,2,0.1,Cash
T00214,10/10/2024,C150,P025,S002,3,0.1,Mobile Money
T00215,6/10/2025,C034,P034,S005,1,0.1,Mobile Money
T00216,8/22/2024,C165,P031,S003,2,0,Mobile Money
T00217,12/27/2024,C131,P048,S003,1,0.1,Bank Transfer
T00218,3/10/2024,C047,P048,S002,3,0.15,Credit Card
T00219,4/4/2025,C058,P035,S002,2,0,Bank Transfer
T00220,4/18/2024,C026,P021,S005,5,0,Bank Transfer
T00221,7/29/2025,C197,P002,S005,2,0.15,Credit Card
T00222,4/7/2025,C042,P045,S002,5,0.05,Mobile Money
T00223,8/13/2025,C012,P046,S004,3,0.05,Mobile Money
T00224,6/24/2025,C157,P017,S003,4,0.05,Credit Card
T00225,11/30/2023,C080,P020,S004,2,0.1,Mobile Money
T00226,5/18/2024,C119,P020,S003,4,0.15,Credit Card
T00227,8/25/2024,C052,P032,S005,2,0.1,Cash
T00228,6/13/2024,C165,P026,S004,3,0,Cash
T00229,7/12/2025,C073,P042,S001,2,0.1,Mobile Money
T00230,12/5/2024,C132,P022,S002,4,0,Credit Card
T00231,6/20/2025,C116,P046,S003,1,0.15,Cash
T00232,1/26/2025,C102,P038,S005,3,0.05,Mobile Money
T00233,8/11/2024,C021,P050,S003,2,0,Bank Transfer
T00234,4/18/2025,C026,P021,S003,2,0.05,Cash
T00235,8/10/2025,C074,P007,S004,2,0.15,Mobile Money
T00236,1/27/2024,C158,P050,S001,1,0,Bank Transfer
T00237,5/8/2024,C056,P039,S002,5,0.15,Cash
T00238,9/27/2023,C199,P023,S003,2,0.1,Cash
T00239,4/27/2024,C013,P014,S002,4,0.15,Cash
T00240,9/3/2024,C029,P018,S004,5,0,Credit Card
T00241,10/28/2024,C184,P034,S002,3,0.15,Cash
T00242,3/30/2025,C158,P015,S003,2,0.15,Credit Card
T00243,9/3/2025,C171,P044,S001,5,0.1,Cash
T00244,4/9/2024,C135,P002,S005,5,0,Mobile Money
T00245,9/14/2024,C121,P011,S001,4,0.1,Bank Transfer
T00246,6/3/2024,C192,P030,S001,3,0,Bank Transfer
T00247,12/7/2024,C062,P022,S001,5,0.1,Credit Card
T00248,11/17/2023,C012,P035,S003,5,0.1,Credit Card
T00249,2/2/2025,C200,P039,S004,4,0.05,Credit Card
T00250,7/8/2025,C017,P037,S004,1,0.1,Credit Card
T00251,8/3/2024,C012,P022,S002,1,0.1,Bank Transfer
T00252,3/20/2024,C132,P046,S004,5,0.15,Bank Transfer
T00253,2/20/2024,C010,P004,S002,3,0.1,Cash
T00254,3/16/2025,C168,P046,S003,3,0,Bank Transfer
T00255,11/11/2024,C112,P039,S004,4,0.15,Bank Transfer
T00256,9/29/2024,C048,P015,S004,4,0.1,Bank Transfer
T00257,10/18/2024,C022,P040,S004,1,0.15,Credit Card
T00258,3/27/2025,C140,P046,S003,3,0,Cash
T00259,5/10/2025,C084,P011,S003,3,0.15,Mobile Money
T00260,2/26/2025,C043,P024,S004,3,0.15,Cash
T00261,11/16/2023,C187,P030,S003,5,0.15,Bank Transfer
T00262,8/4/2024,C164,P039,S001,1,0.15,Bank Transfer
T00263,10/3/2024,C132,P035,S002,1,0.05,Mobile Money
T00264,2/19/2025,C009,P037,S002,1,0.05,Bank Transfer
T00265,5/1/2025,C093,P044,S004,5,0,Credit Card
T00266,5/23/2024,C174,P014,S004,3,0.1,Mobile Money
T00267,10/11/2023,C196,P009,S001,5,0.05,Bank Transfer
T00268,1/23/2025,C102,P016,S003,3,0.05,Cash
T00269,5/23/2024,C007,P046,S002,4,0.15,Cash
T00270,2/24/2024,C068,P023,S003,4,0.05,Bank Transfer
T00271,6/20/2025,C178,P040,S004,2,0,Credit Card
T00272,12/3/2024,C019,P002,S004,2,0.15,Cash
T00273,10/20/2023,C175,P014,S003,3,0,Bank Transfer
T00274,11/11/2023,C077,P002,S002,2,0.1,Credit Card
T00275,7/3/2025,C032,P043,S002,2,0.05,Mobile Money
T00276,10/13/2023,C007,P031,S003,5,0.1,Mobile Money
T00277,7/16/2024,C142,P035,S002,5,0,Cash
T00278,10/10/2024,C080,P036,S004,4,0.15,Mobile Money
T00279,7/13/2025,C148,P012,S001,2,0.1,Cash
T00280,2/5/2025,C116,P020,S004,5,0.1,Credit Card
T00281,10/14/2024,C200,P047,S005,5,0.05,Credit Card
T00282,3/9/2025,C111,P023,S005,1,0,Credit Card
T00283,7/12/2024,C078,P026,S002,2,0.1,Credit Card
T00284,6/7/2024,C089,P022,S005,3,0,Bank Transfer
T00285,7/1/2024,C051,P009,S005,3,0.05,Bank Transfer
T00286,10/11/2023,C158,P050,S005,1,0.05,Credit Card
T00287,7/11/2024,C044,P048,S005,5,0.1,Cash
T00288,4/16/2024,C008,P041,S001,1,0.1,Credit Card
T00289,5/25/2024,C197,P001,S005,4,0,Mobile Money
T00290,10/7/2024,C161,P001,S005,3,0.1,Mobile Money
T00291,6/12/2025,C063,P043,S004,3,0.15,Cash
T00292,7/2/2024,C177,P041,S001,2,0.15,Mobile Money
T00293,5/25/2025,C124,P005,S004,2,0.1,Credit Card
T00294,3/20/2025,C081,P015,S003,3,0.15,Credit Card
T00295,4/29/2025,C195,P020,S003,5,0,Bank Transfer
T00296,5/21/2025,C062,P004,S004,1,0.1,Mobile Money
T00297,10/4/2024,C064,P017,S002,1,0,Bank Transfer
T00298,8/21/2024,C099,P009,S005,4,0.05,Credit Card
T00299,11/21/2023,C084,P027,S005,3,0.05,Credit Card
T00300,11/15/2023,C128,P011,S005,4,0.15,Bank Transfer
T00301,12/7/2024,C128,P032,S001,1,0.15,Mobile Money
T00302,12/11/2024,C062,P014,S002,5,0.1,Cash
T00303,9/9/2025,C013,P017,S003,4,0.15,Bank Transfer
T00304,6/8/2024,C138,P014,S001,1,0.15,Credit Card
T00305,10/8/2024,C068,P029,S003,4,0.1,Cash
T00306,10/17/2024,C103,P001,S001,5,0.05,Bank Transfer
T00307,7/14/2025,C142,P012,S003,1,0.15,Mobile Money
T00308,11/23/2024,C196,P023,S005,3,0,Credit Card
T00309,4/7/2024,C025,P049,S004,3,0.1,Bank Transfer
T00310,11/28/2023,C194,P010,S002,2,0.15,Cash
T00311,7/1/2024,C012,P031,S001,2,0.1,Mobile Money
T00312,1/8/2025,C133,P024,S004,2,0.05,Bank Transfer
T00313,12/19/2024,C157,P038,S003,2,0.15,Bank Transfer
T00314,4/13/2025,C152,P028,S003,5,0.15,Bank Transfer
T00315,9/19/2023,C122,P026,S001,3,0.1,Cash
T00316,4/1/2025,C107,P003,S005,3,0,Mobile Money
T00317,2/27/2025,C068,P047,S005,5,0.05,Cash
T00318,5/24/2025,C150,P043,S004,2,0.15,Credit Card
T00319,2/5/2025,C175,P014,S002,1,0,Credit Card
T00320,10/6/2024,C005,P032,S004,3,0.15,Credit Card
T00321,11/8/2024,C106,P016,S002,4,0.15,Cash
T00322,12/3/2024,C181,P018,S002,5,0.05,Bank Transfer
T00323,4/25/2025,C170,P037,S004,5,0.15,Bank Transfer
T00324,4/20/2024,C045,P003,S004,5,0.1,Bank Transfer
T00325,12/29/2023,C174,P014,S003,5,0.15,Credit Card
T00326,10/2/2024,C064,P002,S003,5,0.1,Credit Card
T00327,6/27/2025,C077,P045,S003,2,0.15,Bank Transfer
T00328,5/22/2025,C123,P043,S003,5,0.1,Bank Transfer
T00329,12/13/2024,C032,P036,S005,5,0.15,Mobile Money
T00330,11/17/2023,C089,P034,S002,3,0,Bank Transfer
T00331,11/26/2024,C183,P046,S001,3,0.15,Bank Transfer
T00332,3/11/2024,C192,P002,S004,2,0.05,Bank Transfer
T00333,9/18/2024,C144,P026,S003,2,0,Credit Card
T00334,9/1/2025,C063,P026,S001,5,0.05,Credit Card
T00335,10/26/2024,C014,P041,S001,4,0.1,Mobile Money
T00336,12/12/2024,C026,P014,S002,1,0.05,Mobile Money
T00337,12/20/2024,C168,P043,S004,4,0.05,Bank Transfer
T00338,10/31/2024,C083,P010,S003,1,0,Credit Card
T00339,4/13/2024,C137,P039,S001,2,0.15,Credit Card
T00340,5/8/2024,C010,P010,S004,4,0.05,Bank Transfer
T00341,11/24/2023,C010,P050,S001,3,0,Bank Transfer
T00342,7/8/2025,C073,P037,S004,5,0.15,Credit Card
T00343,11/23/2024,C130,P022,S004,3,0.05,Cash
T00344,2/20/2025,C085,P045,S002,4,0.1,Credit Card
T00345,8/30/2025,C004,P033,S003,3,0.05,Credit Card
T00346,3/28/2025,C157,P014,S004,4,0.1,Cash
T00347,3/3/2025,C103,P030,S001,2,0.05,Mobile Money
T00348,3/10/2025,C083,P025,S002,1,0.1,Mobile Money
T00349,7/12/2025,C061,P025,S004,3,0.1,Bank Transfer
T00350,12/25/2024,C150,P015,S005,1,0.1,Bank Transfer
T00351,12/24/2024,C178,P047,S002,1,0,Mobile Money
T00352,1/4/2024,C079,P011,S002,4,0.1,Cash
T00353,3/14/2025,C164,P015,S003,3,0.05,Credit Card
T00354,12/24/2023,C035,P039,S004,2,0.15,Bank Transfer
T00355,9/16/2023,C107,P031,S005,4,0.05,Credit Card
T00356,8/29/2025,C175,P050,S005,1,0.15,Bank Transfer
T00357,8/20/2024,C020,P015,S005,1,0,Credit Card
T00358,10/28/2023,C147,P049,S005,2,0.05,Bank Transfer
T00359,3/22/2025,C134,P006,S004,1,0.05,Mobile Money
T00360,1/30/2024,C024,P008,S005,4,0,Mobile Money
T00361,8/18/2025,C034,P011,S005,4,0.15,Cash
T00362,6/17/2024,C144,P026,S004,3,0,Mobile Money
T00363,9/9/2024,C066,P018,S001,2,0,Cash
T00364,6/28/2024,C109,P024,S003,1,0,Cash
T00365,6/15/2024,C121,P045,S001,3,0.15,Credit Card
T00366,1/18/2025,C197,P034,S002,4,0.1,Mobile Money
T00367,2/8/2024,C115,P005,S004,4,0,Credit Card
T00368,10/26/2023,C168,P044,S003,1,0.05,Mobile Money
T00369,8/10/2025,C136,P019,S002,2,0,Cash
T00370,12/14/2024,C077,P010,S004,5,0.15,Mobile Money
T00371,4/4/2024,C059,P035,S002,4,0.1,Credit Card
T00372,8/29/2024,C071,P014,S002,1,0,Mobile Money
T00373,5/14/2025,C158,P026,S001,2,0.05,Cash
T00374,7/19/2025,C026,P013,S005,1,0.15,Cash
T00375,11/11/2023,C063,P025,S001,4,0.15,Credit Card
T00376,5/28/2025,C139,P039,S002,1,0.05,Bank Transfer
T00377,5/23/2024,C060,P030,S005,3,0.1,Credit Card
T00378,2/21/2025,C078,P034,S002,5,0.05,Mobile Money
T00379,2/13/2024,C077,P005,S003,1,0.05,Mobile Money
T00380,2/16/2025,C143,P010,S004,1,0.1,Mobile Money
T00381,10/18/2024,C135,P043,S003,4,0.15,Credit Card
T00382,7/27/2024,C077,P021,S004,2,0.15,Credit Card
T00383,2/26/2025,C058,P037,S003,2,0.15,Cash
T00384,4/29/2025,C144,P007,S004,4,0.05,Mobile Money
T00385,11/20/2024,C063,P007,S003,2,0.1,Cash
T00386,7/17/2024,C116,P043,S003,1,0.05,Cash
T00387,4/15/2024,C069,P011,S004,5,0,Cash
T00388,11/24/2023,C049,P024,S005,5,0.05,Mobile Money
T00389,10/19/2024,C054,P020,S003,3,0,Credit Card
T00390,6/10/2025,C049,P048,S001,4,0.05,Credit Card
T00391,10/10/2024,C102,P005,S002,5,0.1,Bank Transfer
T00392,10/9/2024,C098,P041,S004,5,0.1,Bank Transfer
T00393,12/23/2024,C067,P031,S003,5,0.15,Mobile Money
T00394,5/7/2024,C026,P001,S004,3,0.05,Bank Transfer
T00395,12/16/2024,C081,P025,S004,1,0.05,Credit Card
T00396,7/25/2024,C005,P049,S003,5,0.15,Bank Transfer
T00397,11/17/2023,C040,P029,S002,3,0.05,Mobile Money
T00398,10/14/2024,C146,P009,S002,4,0.1,Bank Transfer
T00399,10/4/2023,C196,P017,S004,4,0.15,Credit Card
T00400,1/24/2024,C188,P006,S003,2,0.05,Mobile Money
T00401,7/27/2024,C048,P047,S005,1,0,Cash
T00402,5/13/2025,C172,P021,S001,1,0.15,Credit Card
T00403,5/4/2024,C162,P029,S002,1,0.05,Cash
T00404,1/20/2025,C056,P048,S005,4,0.1,Cash
T00405,8/6/2024,C159,P022,S005,4,0.15,Cash
T00406,5/21/2025,C002,P031,S005,5,0.15,Cash
T00407,6/13/2025,C005,P034,S005,3,0.1,Cash
T00408,12/22/2024,C129,P015,S004,2,0,Cash
T00409,1/21/2025,C135,P037,S002,2,0.05,Bank Transfer
T00410,5/18/2024,C091,P048,S003,4,0,Bank Transfer
T00411,9/24/2024,C104,P002,S004,5,0.05,Credit Card
T00412,10/3/2023,C077,P005,S001,1,0,Mobile Money
T00413,1/20/2024,C098,P030,S004,5,0.15,Cash
T00414,9/19/2023,C164,P034,S001,2,0,Mobile Money
T00415,6/13/2025,C112,P029,S003,5,0,Cash
T00416,4/18/2025,C059,P036,S002,5,0.15,Bank Transfer
T00417,10/19/2023,C012,P004,S001,3,0,Credit Card
T00418,11/12/2024,C081,P033,S001,2,0.05,Mobile Money
T00419,1/30/2024,C020,P029,S003,2,0.05,Mobile Money
T00420,3/30/2024,C174,P029,S005,3,0.15,Credit Card
T00421,11/28/2023,C177,P019,S001,5,0.1,Cash
T00422,7/13/2025,C026,P046,S004,2,0,Bank Transfer
T00423,12/6/2023,C155,P001,S005,5,0.15,Bank Transfer
T00424,4/13/2024,C008,P014,S003,4,0.15,Credit Card
T00425,10/9/2024,C092,P004,S005,4,0.15,Credit Card
T00426,9/11/2023,C175,P024,S005,4,0,Bank Transfer
T00427,12/10/2024,C064,P030,S001,1,0.1,Credit Card
T00428,8/30/2025,C098,P033,S002,4,0.1,Bank Transfer
T00429,2/18/2024,C028,P010,S001,1,0.1,Mobile Money
T00430,3/3/2024,C093,P026,S003,1,0.05,Cash
T00431,1/10/2024,C048,P015,S004,4,0.15,Cash
T00432,12/18/2023,C007,P048,S001,3,0,Bank Transfer
T00433,2/12/2024,C099,P010,S001,3,0.15,Mobile Money
T00434,2/21/2025,C200,P030,S001,5,0.05,Credit Card
T00435,2/20/2025,C176,P028,S004,2,0.05,Bank Transfer
T00436,3/16/2024,C078,P011,S003,4,0.05,Cash
