Trip ID,Pick Date,Vehicle,Payment_type,No. of passenger_count,Trip Distance,Pickup Location,Booking Value,Total Bookings,Year,Quarter,Month,Day
23,2024-06-01 00:00:00,Uber Comfort,Uber Pay,1,2.5,Penn Station/Madison Sq West,$10.5,1.0,1899,Qtr 4,December,30
24,2024-06-01 00:00:00,Uber Comfort,Uber Pay,1,4.59,Clinton East,$21.2,1.0,1899,Qtr 4,December,30
26,2024-06-01 00:00:00,UberX,Cash,1,1.08,East Village,$7.0,1.0,1899,Qtr 4,December,30
27,2024-06-01 00:00:00,Uber Green,Cash,1,1.9,Clinton East,$7.0,1.0,1899,Qtr 4,December,30
28,2024-06-01 00:00:00,UberX,Uber Pay,1,8.18,Kips Bay,$33.2,1.0,1899,Qtr 4,December,30
29,2024-06-01 00:00:00,UberXL,Uber Pay,1,6.54,Kips Bay,$23.5,1.0,1899,Qtr 4,December,30
30,2024-06-01 00:00:00,UberXL,Uber Pay,6,3.68,Lenox Hill East,$19.0,1.0,1899,Qtr 4,December,30
31,2024-06-01 00:00:00,UberX,Cash,1,1.9,Murray Hill,$8.5,1.0,1899,Qtr 4,December,30
32,2024-06-01 00:00:00,UberXL,Cash,1,2.4,East Harlem South,$9.0,1.0,1899,Qtr 4,December,30
33,2024-06-01 00:00:00,UberX,Uber Pay,1,7.5,Manhattan Valley,$22.5,1.0,1899,Qtr 4,December,30
34,2024-06-01 00:00:00,Uber Green,Cash,1,1.87,Upper West Side North,$9.5,1.0,1899,Qtr 4,December,30
35,2024-06-01 00:00:00,UberXL,Cash,2,7.91,Garment District,$24.5,1.0,1899,Qtr 4,December,30
36,2024-06-01 00:00:00,UberX,Uber Pay,1,5.3,Midtown Center,$18.0,1.0,1899,Qtr 4,December,30
37,2024-06-01 00:00:00,Uber Black,Cash,1,3.4,Clinton East,$16.5,1.0,1899,Qtr 4,December,30
38,2024-06-01 00:00:00,UberX,Cash,2,2.33,Upper West Side North,$9.5,1.0,1899,Qtr 4,December,30
39,2024-06-01 00:00:00,UberX,Cash,1,1.6,Queensbridge/Ravenswood,$8.0,1.0,1899,Qtr 4,December,30
40,2024-06-01 00:00:00,UberX,Uber Pay,1,4.3,Murray Hill,$17.0,1.0,1899,Qtr 4,December,30
41,2024-06-01 00:00:00,Uber Comfort,Cash,1,2.53,Manhattan Valley,$10.0,1.0,1899,Qtr 4,December,30
42,2024-06-01 00:00:00,Uber Black,Cash,1,4.8,Kips Bay,$15.5,1.0,1899,Qtr 4,December,30
43,2024-06-01 00:00:00,UberX,Amazon Pay,1,7.5,West Village,$23.5,1.0,1899,Qtr 4,December,30
44,2024-06-01 00:00:00,Uber Green,Cash,1,3.43,Clinton East,$13.0,1.0,1899,Qtr 4,December,30
45,2024-06-01 00:00:00,Uber Black,Cash,1,2.73,Upper West Side North,$11.0,1.0,1899,Qtr 4,December,30
46,2024-06-01 00:00:00,Uber Green,Uber Pay,1,4.64,Murray Hill,$18.5,1.0,1899,Qtr 4,December,30
47,2024-06-01 00:00:00,Uber Comfort,Cash,1,2.61,Little Italy/NoLiTa,$10.0,1.0,1899,Qtr 4,December,30
48,2024-06-01 00:00:00,UberX,Cash,1,3.84,East Flatbush/Farragut,$14.0,1.0,1899,Qtr 4,December,30
49,2024-06-01 00:00:00,Uber Comfort,Cash,1,3,TriBeCa/Civic Center,$2.5,1.0,1899,Qtr 4,December,30
50,2024-06-01 00:00:00,Uber Green,Uber Pay,1,7.27,East Chelsea,$26.6,1.0,1899,Qtr 4,December,30
51,2024-06-01 00:00:00,Uber Comfort,Cash,1,1.32,Jackson Heights,$7.0,1.0,1899,Qtr 4,December,30
52,2024-06-01 00:00:00,UberX,Cash,1,11.7,Bloomingdale,$35.5,1.0,1899,Qtr 4,December,30
53,2024-06-01 00:00:00,Uber Black,Uber Pay,1,19.31,Brownsville,$56.3,1.0,1899,Qtr 4,December,30
54,2024-06-01 00:00:00,UberX,Uber Pay,1,4.95,Times Sq/Theatre District,$21.0,1.0,1899,Qtr 4,December,30
55,2024-06-01 00:00:00,Uber Black,Cash,2,4.02,Far Rockaway,$15.5,1.0,1899,Qtr 4,December,30
56,2024-06-01 00:00:00,UberXL,Cash,1,2.5,NV,$11.5,1.0,1899,Qtr 4,December,30
57,2024-06-01 00:00:00,UberX,Uber Pay,1,2.6,Garment District,$16.4,1.0,1899,Qtr 4,December,30
58,2024-06-01 00:00:00,UberX,Uber Pay,4,3.27,Lower East Side,$15.2,1.0,1899,Qtr 4,December,30
59,2024-06-01 00:00:00,Uber Comfort,Cash,2,6.25,Little Italy/NoLiTa,$34.0,1.0,1899,Qtr 4,December,30
60,2024-06-01 00:00:00,UberX,Cash,1,7.9,Chinatown,$24.5,1.0,1899,Qtr 4,December,30
61,2024-06-01 00:00:00,Uber Green,Cash,1,2.2,Little Italy/NoLiTa,$10.0,1.0,1899,Qtr 4,December,30
62,2024-06-01 00:00:00,UberX,Cash,1,11.59,Kips Bay,$32.0,1.0,1899,Qtr 4,December,30
63,2024-06-01 00:00:00,UberX,Cash,1,1.86,Murray Hill,$8.0,1.0,1899,Qtr 4,December,30
64,2024-06-01 00:00:00,Uber Black,Uber Pay,2,2.48,Union Sq,$14.1,1.0,1899,Qtr 4,December,30
65,2024-06-01 00:00:00,UberX,Cash,1,5.7,Sutton Place/Turtle Bay North,$21.0,1.0,1899,Qtr 4,December,30
66,2024-06-01 00:00:00,Uber Green,Uber Pay,1,3.05,Greenwich Village North,$13.0,1.0,1899,Qtr 4,December,30
67,2024-06-01 00:00:00,Uber Green,Cash,2,1.22,Greenwich Village South,$5.5,1.0,1899,Qtr 4,December,30
68,2024-06-01 00:00:00,Uber Green,Cash,2,3.71,Murray Hill,$17.5,1.0,1899,Qtr 4,December,30
69,2024-06-01 00:00:00,Uber Comfort,Cash,5,11.12,Penn Station/Madison Sq West,$31.5,1.0,1899,Qtr 4,December,30
70,2024-06-01 00:00:00,Uber Comfort,Uber Pay,1,6.04,Downtown Brooklyn/MetroTech,$22.0,1.0,1899,Qtr 4,December,30
71,2024-06-01 00:00:00,UberX,Cash,1,5.38,Fort Greene,$18.5,1.0,1899,Qtr 4,December,30
72,2024-06-01 00:00:00,Uber Green,Cash,6,5.9,East Harlem North,$19.0,1.0,1899,Qtr 4,December,30
73,2024-06-01 00:00:00,UberX,Uber Pay,2,2.3,Yorkville West,$10.5,1.0,1899,Qtr 4,December,30
74,2024-06-01 00:00:00,Uber Black,Cash,1,2.4,Flushing,$10.0,1.0,1899,Qtr 4,December,30
75,2024-06-01 00:00:00,UberX,Uber Pay,1,9.4,East Harlem North,$27.0,1.0,1899,Qtr 4,December,30
76,2024-06-01 00:00:00,UberX,Cash,1,2,Upper West Side North,$8.0,1.0,1899,Qtr 4,December,30
77,2024-06-01 00:00:00,UberX,Cash,1,8.3,East Village,$24.5,1.0,1899,Qtr 4,December,30
78,2024-06-01 00:00:00,Uber Comfort,Uber Pay,1,15.87,Upper West Side North,$43.0,1.0,1899,Qtr 4,December,30
79,2024-06-01 00:00:00,UberX,Cash,1,5.05,Flatiron,$15.5,1.0,1899,Qtr 4,December,30
80,2024-06-01 00:00:00,Uber Green,Uber Pay,2,3.54,Yorkville East,$15.2,1.0,1899,Qtr 4,December,30
81,2024-06-01 00:00:00,Uber Black,Uber Pay,1,1.8,Clinton East,$8.5,1.0,1899,Qtr 4,December,30
82,2024-06-01 00:00:00,UberX,Cash,1,1.38,Penn Station/Madison Sq West,$7.0,1.0,1899,Qtr 4,December,30
83,2024-06-01 00:00:00,UberXL,Cash,1,1.41,Penn Station/Madison Sq West,$6.5,1.0,1899,Qtr 4,December,30
84,2024-06-01 00:00:00,UberX,Cash,1,1.23,Upper West Side South,$7.0,1.0,1899,Qtr 4,December,30
85,2024-06-01 00:00:00,UberX,Cash,2,16.77,Mott Haven/Port Morris,$45.0,1.0,1899,Qtr 4,December,30
86,2024-06-01 00:00:00,UberX,Cash,1,8.3,East Village,$27.5,1.0,1899,Qtr 4,December,30
87,2024-06-01 00:00:00,UberX,Cash,2,3.1,East Harlem South,$11.5,1.0,1899,Qtr 4,December,30
88,2024-06-01 00:00:00,Uber Comfort,Uber Pay,1,2.61,Chinatown,$13.5,1.0,1899,Qtr 4,December,30
89,2024-06-01 00:00:00,UberX,Cash,2,13.15,Greenwich Village South,$38.5,1.0,1899,Qtr 4,December,30
90,2024-06-01 00:00:00,Uber Black,Cash,2,2.85,Washington Heights South,$10.5,1.0,1899,Qtr 4,December,30
91,2024-06-01 00:00:00,UberX,Uber Pay,1,4.2,Upper West Side North,$15.0,1.0,1899,Qtr 4,December,30
92,2024-06-01 00:00:00,UberXL,Cash,1,3.45,Penn Station/Madison Sq West,$13.5,1.0,1899,Qtr 4,December,30
93,2024-06-01 00:00:00,UberX,Cash,1,1.8,Central Harlem North,$8.0,1.0,1899,Qtr 4,December,30
94,2024-06-01 00:00:00,UberX,Cash,1,8.7,Forest Hills,$27.0,1.0,1899,Qtr 4,December,30
95,2024-06-01 00:00:00,Uber Comfort,Uber Pay,1,8.8,Briarwood/Jamaica Hills,$25.5,1.0,1899,Qtr 4,December,30
96,2024-06-01 00:00:00,UberX,Uber Pay,1,10.83,Kips Bay,$31.0,1.0,1899,Qtr 4,December,30
97,2024-06-01 00:00:00,UberX,Cash,1,1.3,Upper West Side South,$7.5,1.0,1899,Qtr 4,December,30
98,2024-06-01 00:00:00,Uber Green,Uber Pay,1,1.1,Upper West Side North,$6.9,1.0,1899,Qtr 4,December,30
99,2024-06-01 00:00:00,UberX,Cash,6,5.02,Manhattan Valley,$16.0,1.0,1899,Qtr 4,December,30
100,2024-06-01 00:00:00,UberX,Uber Pay,1,2.52,Midtown South,$13.4,1.0,1899,Qtr 4,December,30
101,2024-06-01 00:00:00,Uber Black,Uber Pay,1,1.8,Penn Station/Madison Sq West,$11.0,1.0,1899,Qtr 4,December,30
102,2024-06-01 00:00:00,UberX,Uber Pay,2,1.65,Penn Station/Madison Sq West,$9.8,1.0,1899,Qtr 4,December,30
103,2024-06-01 00:00:00,UberX,Cash,1,8.95,JFK Airport,$26.0,1.0,1899,Qtr 4,December,30
104,2024-06-01 00:00:00,Uber Black,Uber Pay,3,1.15,Penn Station/Madison Sq West,$7.8,1.0,1899,Qtr 4,December,30
105,2024-06-01 00:00:00,UberX,Cash,1,4.2,Gramercy,$14.5,1.0,1899,Qtr 4,December,30
106,2024-06-01 00:00:00,Uber Green,Cash,1,1.05,East Harlem North,$5.0,1.0,1899,Qtr 4,December,30
107,2024-06-01 00:00:00,UberX,Uber Pay,1,1.62,Lincoln Square East,$9.2,1.0,1899,Qtr 4,December,30
108,2024-06-01 00:00:00,Uber Comfort,Cash,4,1.56,Sutton Place/Turtle Bay North,$7.0,1.0,1899,Qtr 4,December,30
109,2024-06-01 00:00:00,Uber Green,Uber Pay,1,4.7,Upper West Side North,$20.5,1.0,1899,Qtr 4,December,30
110,2024-06-01 00:00:00,UberX,Cash,1,10.1,JFK Airport,$29.5,1.0,1899,Qtr 4,December,30
111,2024-06-01 00:00:00,UberX,Cash,1,1.2,East Harlem South,$6.0,1.0,1899,Qtr 4,December,30
112,2024-06-01 00:00:00,UberX,Uber Pay,1,7.1,East Chelsea,$23.5,1.0,1899,Qtr 4,December,30
113,2024-06-01 00:00:00,Uber Comfort,Cash,5,2,Upper West Side North,$8.5,1.0,1899,Qtr 4,December,30
114,2024-06-01 00:00:00,UberX,Cash,1,7.7,Garment District,$24.0,1.0,1899,Qtr 4,December,30
115,2024-06-01 00:00:00,Uber Black,Cash,1,1.59,Lincoln Square West,$7.5,1.0,1899,Qtr 4,December,30
116,2024-06-01 00:00:00,Uber Black,Uber Pay,1,1.56,Lenox Hill East,$8.6,1.0,1899,Qtr 4,December,30
117,2024-06-01 00:00:00,Uber Comfort,Cash,1,3.73,Times Sq/Theatre District,$13.0,1.0,1899,Qtr 4,December,30
118,2024-06-01 00:00:00,UberX,Uber Pay,1,3.3,Garment District,$15.5,1.0,1899,Qtr 4,December,30
119,2024-06-01 00:00:00,UberX,Uber Pay,2,4.89,East Harlem South,$16.0,1.0,1899,Qtr 4,December,30
120,2024-06-01 00:00:00,Uber Green,Uber Pay,1,3.2,Penn Station/Madison Sq West,$12.0,1.0,1899,Qtr 4,December,30
121,2024-06-01 00:00:00,UberX,Cash,1,3.09,Lincoln Square East,$11.5,1.0,1899,Qtr 4,December,30
122,2024-06-01 00:00:00,UberXL,Cash,1,1.46,Clinton East,$6.5,1.0,1899,Qtr 4,December,30
123,2024-06-01 00:00:00,Uber Green,Cash,1,2.01,Lenox Hill East,$8.5,1.0,1899,Qtr 4,December,30
124,2024-06-01 00:00:00,UberX,Cash,3,4.1,Mott Haven/Port Morris,$13.5,1.0,1899,Qtr 4,December,30
125,2024-06-01 00:00:00,UberX,Cash,1,1.47,Kips Bay,$8.0,1.0,1899,Qtr 4,December,30
126,2024-06-01 00:00:00,UberX,Cash,1,1.35,Clinton East,$6.5,1.0,1899,Qtr 4,December,30
127,2024-06-01 00:00:00,UberX,Uber Pay,1,2.28,Lincoln Square West,$11.6,1.0,1899,Qtr 4,December,30
128,2024-06-01 00:00:00,Uber Black,Uber Pay,1,1.7,Garment District,$7.5,1.0,1899,Qtr 4,December,30
129,2024-06-01 00:00:00,Uber Black,Uber Pay,1,3.24,Lincoln Square West,$13.6,1.0,1899,Qtr 4,December,30
130,2024-06-01 00:00:00,UberXL,Uber Pay,1,1.7,East Harlem South,$11.5,1.0,1899,Qtr 4,December,30
131,2024-06-01 00:00:00,UberX,Uber Pay,1,17.73,JFK Airport,$56.7,1.0,1899,Qtr 4,December,30
132,2024-06-01 00:00:00,Uber Comfort,Cash,1,1.37,Penn Station/Madison Sq West,$6.5,1.0,1899,Qtr 4,December,30
133,2024-06-01 00:00:00,UberXL,Uber Pay,1,10.48,JFK Airport,$36.3,1.0,1899,Qtr 4,December,30
134,2024-06-01 00:00:00,UberX,Uber Pay,1,2.7,Upper West Side North,$12.6,1.0,1899,Qtr 4,December,30
135,2024-06-01 00:00:00,UberX,Cash,1,1.12,Central Harlem North,$5.5,1.0,1899,Qtr 4,December,30
136,2024-06-01 00:00:00,Uber Comfort,Cash,1,1.3,Penn Station/Madison Sq West,$6.5,1.0,1899,Qtr 4,December,30
137,2024-06-01 00:00:00,UberXL,Uber Pay,1,1.7,Yorkville West,$9.0,1.0,1899,Qtr 4,December,30
138,2024-06-01 00:00:00,Uber Green,Cash,1,1.8,Greenwich Village North,$7.5,1.0,1899,Qtr 4,December,30
139,2024-06-01 00:00:00,UberX,Uber Pay,1,1.9,Penn Station/Madison Sq West,$10.9,1.0,1899,Qtr 4,December,30
140,2024-06-01 00:00:00,UberX,Uber Pay,1,2.27,Central Park,$11.5,1.0,1899,Qtr 4,December,30
141,2024-06-01 00:00:00,UberXL,Cash,1,1.25,Bloomingdale,$12.0,1.0,1899,Qtr 4,December,30
142,2024-06-01 00:00:00,UberX,Cash,1,2.79,Central Park,$10.5,1.0,1899,Qtr 4,December,30
143,2024-06-01 00:00:00,UberX,Cash,1,3.16,East Village,$12.5,1.0,1899,Qtr 4,December,30
144,2024-06-01 00:00:00,Uber Green,Cash,1,2.72,East Village,$10.5,1.0,1899,Qtr 4,December,30
145,2024-06-01 00:00:00,UberX,Uber Pay,1,1.32,East Harlem South,$6.5,1.0,1899,Qtr 4,December,30
146,2024-06-01 00:00:00,Uber Black,Uber Pay,1,3.5,TriBeCa/Civic Center,$16.9,1.0,1899,Qtr 4,December,30
147,2024-06-01 00:00:00,UberX,Cash,1,1.94,Lincoln Square East,$7.5,1.0,1899,Qtr 4,December,30
148,2024-06-01 00:00:00,UberX,Cash,1,1.7,Kips Bay,$7.5,1.0,1899,Qtr 4,December,30
149,2024-06-01 00:00:00,UberXL,Uber Pay,1,1.4,Penn Station/Madison Sq West,$9.0,1.0,1899,Qtr 4,December,30
150,2024-06-01 00:00:00,UberX,Uber Pay,1,2.47,Flatiron,$12.7,1.0,1899,Qtr 4,December,30
151,2024-06-01 00:00:00,Uber Green,Uber Pay,1,18.93,Lincoln Square West,$66.1,1.0,1899,Qtr 4,December,30
152,2024-06-01 00:00:00,UberX,Cash,1,11.9,Midtown North,$35.0,1.0,1899,Qtr 4,December,30
153,2024-06-01 00:00:00,Uber Black,Uber Pay,1,1.6,Lenox Hill East,$10.0,1.0,1899,Qtr 4,December,30
154,2024-06-01 00:00:00,UberXL,Uber Pay,2,1.52,Midtown East,$9.4,1.0,1899,Qtr 4,December,30
155,2024-06-01 00:00:00,Uber Green,Uber Pay,4,1.67,Lenox Hill East,$9.7,1.0,1899,Qtr 4,December,30
156,2024-06-01 00:00:00,UberX,Uber Pay,1,4.51,Yorkville East,$17.5,1.0,1899,Qtr 4,December,30
157,2024-06-01 00:00:00,Uber Green,Uber Pay,1,3.44,Upper West Side North,$17.1,1.0,1899,Qtr 4,December,30
158,2024-06-01 00:00:00,UberXL,Cash,1,1.2,Midtown East,$6.5,1.0,1899,Qtr 4,December,30
159,2024-06-01 00:00:00,UberXL,Cash,1,2,Upper East Side South,$7.5,1.0,1899,Qtr 4,December,30
160,2024-06-01 00:00:00,UberX,Uber Pay,1,3.41,Upper East Side North,$15.7,1.0,1899,Qtr 4,December,30
161,2024-06-01 00:00:00,Uber Green,Uber Pay,1,1.7,Lower East Side,$10.3,1.0,1899,Qtr 4,December,30
162,2024-06-01 00:00:00,UberX,Cash,1,1.74,East Harlem South,$9.5,1.0,1899,Qtr 4,December,30
163,2024-06-01 00:00:00,UberX,Uber Pay,1,1.11,East Village,$6.7,1.0,1899,Qtr 4,December,30
164,2024-06-01 00:00:00,UberX,Cash,1,2.12,Lincoln Square East,$8.5,1.0,1899,Qtr 4,December,30
165,2024-06-01 00:00:00,UberXL,Uber Pay,1,1.83,UN/Turtle Bay South,$9.1,1.0,1899,Qtr 4,December,30
166,2024-06-01 00:00:00,UberX,Uber Pay,1,1.93,Penn Station/Madison Sq West,$10.3,1.0,1899,Qtr 4,December,30
167,2024-06-01 00:00:00,Uber Black,Cash,2,1.64,Garment District,$8.5,1.0,1899,Qtr 4,December,30
168,2024-06-01 00:00:00,UberX,Uber Pay,2,1.01,Murray Hill,$6.7,1.0,1899,Qtr 4,December,30
169,2024-06-01 00:00:00,Uber Green,Uber Pay,1,2.4,Yorkville East,$12.0,1.0,1899,Qtr 4,December,30
170,2024-06-01 00:00:00,Uber Black,Cash,1,4.84,UN/Turtle Bay South,$18.5,1.0,1899,Qtr 4,December,30
171,2024-06-01 00:00:00,UberX,Uber Pay,1,2.9,Central Park,$16.3,1.0,1899,Qtr 4,December,30
172,2024-06-01 00:00:00,UberX,Uber Pay,1,5.28,Upper West Side North,$22.5,1.0,1899,Qtr 4,December,30
173,2024-06-01 00:00:00,UberX,Uber Pay,1,11.68,JFK Airport,$40.4,1.0,1899,Qtr 4,December,30
174,2024-06-01 00:00:00,UberX,Uber Pay,1,3.3,Morningside Heights,$13.0,1.0,1899,Qtr 4,December,30
175,2024-06-01 00:00:00,Uber Black,Uber Pay,1,2.9,Midtown East,$12.5,1.0,1899,Qtr 4,December,30
176,2024-06-01 00:00:00,Uber Comfort,Uber Pay,1,1.4,Clinton East,$8.0,1.0,1899,Qtr 4,December,30
177,2024-06-01 00:00:00,Uber Black,Uber Pay,1,3.32,Midtown Center,$15.8,1.0,1899,Qtr 4,December,30
178,2024-06-01 00:00:00,UberX,Cash,1,2.73,Gramercy,$9.0,1.0,1899,Qtr 4,December,30
179,2024-06-01 00:00:00,Uber Black,Uber Pay,3,3.42,Lincoln Square East,$16.9,1.0,1899,Qtr 4,December,30
180,2024-06-01 00:00:00,UberX,Amazon Pay,1,1.1,NV,$6.0,1.0,1899,Qtr 4,December,30
181,2024-06-01 00:00:00,UberX,Cash,3,1.3,Yorkville West,$7.0,1.0,1899,Qtr 4,December,30
182,2024-06-01 00:00:00,UberX,Uber Pay,1,1.84,Lenox Hill East,$9.7,1.0,1899,Qtr 4,December,30
183,2024-06-01 00:00:00,UberX,Cash,1,2,Central Harlem,$10.0,1.0,1899,Qtr 4,December,30
184,2024-06-01 00:00:00,Uber Comfort,Cash,1,1.09,Midtown South,$5.5,1.0,1899,Qtr 4,December,30
185,2024-06-01 00:00:00,Uber Black,Cash,1,3.72,Greenwich Village South,$15.5,1.0,1899,Qtr 4,December,30
186,2024-06-01 00:00:00,Uber Black,Uber Pay,1,3.51,Upper East Side North,$15.7,1.0,1899,Qtr 4,December,30
187,2024-06-01 00:00:00,UberX,Cash,6,3.06,Lincoln Square East,$12.0,1.0,1899,Qtr 4,December,30
188,2024-06-01 00:00:00,UberX,Cash,1,10.58,Central Harlem North,$33.5,1.0,1899,Qtr 4,December,30
189,2024-06-01 00:00:00,UberX,Uber Pay,1,1.54,Midtown East,$9.5,1.0,1899,Qtr 4,December,30
190,2024-06-01 00:00:00,UberX,Cash,2,1.39,Penn Station/Madison Sq West,$7.0,1.0,1899,Qtr 4,December,30
191,2024-06-01 00:00:00,UberX,Uber Pay,1,2.6,Upper East Side North,$11.5,1.0,1899,Qtr 4,December,30
192,2024-06-01 00:00:00,UberX,Cash,1,2.7,Upper West Side North,$9.5,1.0,1899,Qtr 4,December,30
193,2024-06-01 00:00:00,Uber Black,Cash,1,1.02,Penn Station/Madison Sq West,$5.5,1.0,1899,Qtr 4,December,30
194,2024-06-01 00:00:00,Uber Green,Uber Pay,1,1.47,Upper West Side South,$7.9,1.0,1899,Qtr 4,December,30
195,2024-06-01 00:00:00,UberX,Uber Pay,1,2,NV,$10.3,1.0,1899,Qtr 4,December,30
196,2024-06-01 00:00:00,Uber Black,Uber Pay,1,3,Sutton Place/Turtle Bay North,$15.1,1.0,1899,Qtr 4,December,30
197,2024-06-01 00:00:00,UberX,Uber Pay,1,2.7,Times Sq/Theatre District,$10.5,1.0,1899,Qtr 4,December,30
198,2024-06-01 00:00:00,Uber Green,Cash,1,1.8,East Chelsea,$8.0,1.0,1899,Qtr 4,December,30
199,2024-06-01 00:00:00,UberXL,Cash,1,2,Yorkville West,$7.5,1.0,1899,Qtr 4,December,30
200,2024-06-01 00:00:00,UberX,Uber Pay,2,1.2,Gramercy,$7.7,1.0,1899,Qtr 4,December,30
201,2024-06-01 00:00:00,UberX,Uber Pay,1,2.8,East Chelsea,$12.5,1.0,1899,Qtr 4,December,30
202,2024-06-01 00:00:00,Uber Black,Uber Pay,1,2.5,Lenox Hill West,$12.7,1.0,1899,Qtr 4,December,30
203,2024-06-01 00:00:00,UberX,Cash,1,1.43,UN/Turtle Bay South,$6.0,1.0,1899,Qtr 4,December,30
204,2024-06-01 00:00:00,UberX,Uber Pay,1,2.92,Flatiron,$13.5,1.0,1899,Qtr 4,December,30
205,2024-06-01 00:00:00,UberXL,Cash,1,4.39,Upper West Side South,$15.5,1.0,1899,Qtr 4,December,30
206,2024-06-01 00:00:00,UberX,Uber Pay,1,1.39,Penn Station/Madison Sq West,$9.5,1.0,1899,Qtr 4,December,30
207,2024-06-01 00:00:00,UberX,Uber Pay,1,1.4,Clinton East,$10.2,1.0,1899,Qtr 4,December,30
208,2024-06-01 00:00:00,UberX,Uber Pay,1,2.03,UN/Turtle Bay South,$16.0,1.0,1899,Qtr 4,December,30
209,2024-06-01 00:00:00,UberX,Uber Pay,1,1.7,Clinton East,$9.1,1.0,1899,Qtr 4,December,30
210,2024-06-01 00:00:00,Uber Comfort,Uber Pay,1,2.43,Gramercy,$10.9,1.0,1899,Qtr 4,December,30
211,2024-06-01 00:00:00,UberX,Uber Pay,1,1.34,Penn Station/Madison Sq West,$10.1,1.0,1899,Qtr 4,December,30
212,2024-06-01 00:00:00,UberX,Cash,1,1.9,Penn Station/Madison Sq West,$8.5,1.0,1899,Qtr 4,December,30
213,2024-06-01 00:00:00,UberXL,Cash,1,2.3,Sunnyside,$10.5,1.0,1899,Qtr 4,December,30
214,2024-06-01 00:00:00,UberX,Uber Pay,2,1.41,Penn Station/Madison Sq West,$14.5,1.0,1899,Qtr 4,December,30
215,2024-06-01 00:00:00,UberX,Cash,1,2.2,Upper West Side North,$9.0,1.0,1899,Qtr 4,December,30
216,2024-06-01 00:00:00,UberX,Uber Pay,1,1.8,Murray Hill,$11.4,1.0,1899,Qtr 4,December,30
217,2024-06-01 00:00:00,UberX,Cash,4,1.57,East Harlem South,$8.0,1.0,1899,Qtr 4,December,30
218,2024-06-01 00:00:00,Uber Black,Uber Pay,1,5.66,Clinton East,$27.0,1.0,1899,Qtr 4,December,30
219,2024-06-01 00:00:00,Uber Black,Cash,1,3.6,TriBeCa/Civic Center,$14.5,1.0,1899,Qtr 4,December,30
220,2024-06-01 00:00:00,Uber Comfort,Cash,1,1.74,Yorkville East,$6.5,1.0,1899,Qtr 4,December,30
221,2024-06-01 00:00:00,UberXL,Cash,1,1.4,Gramercy,$7.5,1.0,1899,Qtr 4,December,30
